TrialNumber;bg_or;t_or;num_distractors;trial_id;trial_rep;participant;trial_type;trial_index;resp_rt;resp_corr;resp_keys;target_pos;target_size;singleton_id;singleton_pos;singleton_size;singleton_ori;lures_pos;lures_size;lures_ori;original_TrialNum;thisRepN_original;thisRepN;bg_or_original;t_or_original;num_distractors_original;ran;order
1;1;0;8;9;0;6.0;practice_search;1.0;9999.0;0.0;timeout;[300.0, 66.0];[35.0, 30.0];0.0;[-478.0, 177.0];[35.0, 30.0];1.0;[[-627.0, 310.0], [-459.0, -181.0], [-290.0, -74.0], [-290.0, 52.0], [290.0, -192.0], [467.0, -181.0], [456.0, 308.0], [617.0, -290.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[0, 1, 1, 0, 0, 0, 0, 1];17.0;0.0;0.0;1.0;0.0;8.0;1.0;0.0
2;1;1;8;19;0;6.0;practice_search;2.0;0.957028;0.0;left;[-302.0, 63.0];[35.0, 30.0];1.0;[478.0, -58.0];[35.0, 30.0];1.0;[[-631.0, 285.0], [-459.0, 183.0], [-473.0, 292.0], [-311.0, 309.0], [290.0, -166.0], [290.0, 314.0], [464.0, 193.0], [627.0, 300.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[0, 0, 1, 1, 0, 1, 0, 0];38.0;0.0;0.0;1.0;1.0;8.0;1.0;1.0
3;0;1;8;14;0;6.0;practice_search;3.0;0.7562649;1.0;right;[289.0, 55.0];[35.0, 30.0];1.0;[-475.0, 306.0];[35.0, 30.0];1.0;[[-628.0, 166.0], [-457.0, -293.0], [-466.0, -47.0], [-307.0, -185.0], [298.0, 171.0], [475.0, -72.0], [643.0, -191.0], [637.0, -65.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 1, 0, 0, 0, 0, 0, 0];28.0;0.0;0.0;0.0;1.0;8.0;1.0;2.0
4;1;0;4;8;0;6.0;practice_search;4.0;0.6187422;1.0;left;[314.0, 73.0];[35.0, 30.0];0.0;[-295.0, -294.0];[35.0, 30.0];0.0;[[-631.0, 298.0], [-299.0, 185.0], [470.0, 314.0], [618.0, -170.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 1, 1, 1];15.0;0.0;0.0;1.0;0.0;4.0;1.0;3.0
5;0;1;0;11;0;6.0;practice_search;5.0;0.5712904;1.0;right;[-463.0, 73.0];[35.0, 30.0];1.0;[287.0, -312.0];[35.0, 30.0];1.0;[];[];[];22.0;0.0;0.0;0.0;1.0;0.0;1.0;4.0
6;1;1;16;20;0;6.0;practice_search;6.0;0.5281198;1.0;right;[302.0, 309.0];[35.0, 30.0];1.0;[-465.0, 65.0];[35.0, 30.0];0.0;[[-624.0, -183.0], [-641.0, -67.0], [-640.0, 171.0], [-630.0, 312.0], [-468.0, -186.0], [-464.0, -48.0], [-308.0, -304.0], [-300.0, -178.0], [302.0, -193.0], [303.0, 175.0], [456.0, -297.0], [459.0, -187.0], [478.0, 60.0], [469.0, 172.0], [644.0, -63.0], [617.0, 57.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0];40.0;0.0;0.0;1.0;1.0;16.0;1.0;5.0
7;0;0;4;3;0;6.0;practice_search;7.0;2.5072868;1.0;left;[286.0, 63.0];[35.0, 30.0];0.0;[-477.0, 302.0];[35.0, 30.0];1.0;[[-294.0, -189.0], [-303.0, -74.0], [295.0, -169.0], [475.0, -315.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 1, 1, 0];5.0;0.0;0.0;0.0;0.0;4.0;1.0;6.0
8;1;1;4;18;0;6.0;practice_search;8.0;0.7616833;1.0;right;[630.0, -63.0];[35.0, 30.0];1.0;[-306.0, 305.0];[35.0, 30.0];0.0;[[-635.0, -54.0], [-630.0, 66.0], [477.0, -171.0], [474.0, 306.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 0, 1, 1];36.0;0.0;0.0;1.0;1.0;4.0;1.0;7.0
9;0;1;4;13;0;6.0;practice_search;9.0;0.6912894;1.0;right;[615.0, 183.0];[35.0, 30.0];1.0;[-307.0, 303.0];[35.0, 30.0];0.0;[[-639.0, -288.0], [-625.0, 305.0], [309.0, -172.0], [300.0, 294.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 1, 0, 1];26.0;0.0;0.0;0.0;1.0;4.0;1.0;8.0
10;1;1;2;17;0;6.0;practice_search;10.0;0.8624075;0.0;left;[-645.0, -305.0];[35.0, 30.0];1.0;[292.0, 294.0];[35.0, 30.0];0.0;[[-475.0, -53.0], [305.0, 184.0]];[[35.0, 30.0], [35.0, 30.0]];[1, 1];34.0;0.0;0.0;1.0;1.0;2.0;1.0;9.0
