TrialNumber;bg_or;t_or;num_distractors;trial_id;trial_rep;participant;trial_type;trial_index;resp_rt;resp_corr;resp_keys;target_pos;target_size;singleton_id;singleton_pos;singleton_size;singleton_ori;lures_pos;lures_size;lures_ori;original_TrialNum;thisRepN_original;thisRepN;bg_or_original;t_or_original;num_distractors_original;ran;order
1;1;1;4;18;0;5.0;practice_search;1.0;1.5043709;1.0;right;[630.0, -63.0];[35.0, 30.0];1.0;[-306.0, 305.0];[35.0, 30.0];0.0;[[-635.0, -54.0], [-630.0, 66.0], [477.0, -171.0], [474.0, 306.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 0, 1, 1];36.0;0.0;0.0;1.0;1.0;4.0;1.0;0.0
2;0;0;8;4;0;5.0;practice_search;2.0;0.8460553;0.0;right;[643.0, 174.0];[35.0, 30.0];0.0;[-616.0, 285.0];[35.0, 30.0];1.0;[[-625.0, 185.0], [-461.0, -286.0], [-473.0, -58.0], [-297.0, -61.0], [307.0, -304.0], [298.0, -62.0], [478.0, 169.0], [465.0, 297.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 1, 1, 1, 0, 0, 1, 1];7.0;0.0;0.0;0.0;0.0;8.0;1.0;1.0
3;0;0;0;1;0;5.0;practice_search;3.0;0.7231886;1.0;left;[472.0, -166.0];[35.0, 30.0];0.0;[-461.0, -49.0];[35.0, 30.0];1.0;[];[];[];1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
4;1;0;0;6;0;5.0;practice_search;4.0;0.7489739;1.0;left;[627.0, 188.0];[35.0, 30.0];0.0;[-295.0, 288.0];[35.0, 30.0];1.0;[];[];[];11.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0
5;1;0;4;8;0;5.0;practice_search;5.0;0.6146138;1.0;left;[314.0, 73.0];[35.0, 30.0];0.0;[-295.0, -294.0];[35.0, 30.0];0.0;[[-631.0, 298.0], [-299.0, 185.0], [470.0, 314.0], [618.0, -170.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 1, 1, 1];15.0;0.0;0.0;1.0;0.0;4.0;1.0;4.0
6;0;0;2;2;0;5.0;practice_search;6.0;0.6882052;1.0;left;[641.0, -181.0];[35.0, 30.0];0.0;[-299.0, -288.0];[35.0, 30.0];0.0;[[-634.0, -52.0], [464.0, 290.0]];[[35.0, 30.0], [35.0, 30.0]];[0, 0];3.0;0.0;0.0;0.0;0.0;2.0;1.0;5.0
7;0;0;4;3;0;5.0;practice_search;7.0;0.6288426;1.0;left;[286.0, 63.0];[35.0, 30.0];0.0;[-477.0, 302.0];[35.0, 30.0];1.0;[[-294.0, -189.0], [-303.0, -74.0], [295.0, -169.0], [475.0, -315.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 1, 1, 0];5.0;0.0;0.0;0.0;0.0;4.0;1.0;6.0
8;0;1;2;12;0;5.0;practice_search;8.0;0.8777059;1.0;right;[644.0, -57.0];[35.0, 30.0];1.0;[-468.0, 309.0];[35.0, 30.0];1.0;[[-617.0, 297.0], [479.0, 297.0]];[[35.0, 30.0], [35.0, 30.0]];[1, 0];24.0;0.0;0.0;0.0;1.0;2.0;1.0;7.0
9;1;0;16;10;0;5.0;practice_search;9.0;0.7677312;1.0;left;[-286.0, -59.0];[35.0, 30.0];0.0;[473.0, 72.0];[35.0, 30.0];0.0;[[-619.0, -289.0], [-641.0, -59.0], [-644.0, 68.0], [-455.0, -180.0], [-476.0, -71.0], [-463.0, 66.0], [-462.0, 194.0], [-298.0, 179.0], [302.0, -302.0], [293.0, 189.0], [297.0, 307.0], [457.0, -182.0], [465.0, 313.0], [638.0, -167.0], [634.0, -65.0], [643.0, 65.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1];19.0;0.0;0.0;1.0;0.0;16.0;1.0;8.0
10;1;1;2;17;0;5.0;practice_search;10.0;0.9435747;1.0;right;[-645.0, -305.0];[35.0, 30.0];1.0;[292.0, 294.0];[35.0, 30.0];0.0;[[-475.0, -53.0], [305.0, 184.0]];[[35.0, 30.0], [35.0, 30.0]];[1, 1];34.0;0.0;0.0;1.0;1.0;2.0;1.0;9.0
11;0;1;16;15;0;5.0;practice_search;11.0;0.8297894;1.0;right;[457.0, -182.0];[35.0, 30.0];1.0;[-625.0, -312.0];[35.0, 30.0];0.0;[[-632.0, -46.0], [-616.0, 50.0], [-476.0, -179.0], [-479.0, -74.0], [-455.0, 56.0], [-313.0, -73.0], [-286.0, 171.0], [-298.0, 292.0], [310.0, -315.0], [309.0, -168.0], [288.0, -50.0], [287.0, 59.0], [311.0, 166.0], [472.0, -62.0], [458.0, 296.0], [616.0, 313.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1];30.0;0.0;0.0;0.0;1.0;16.0;1.0;10.0
